idHotel	foodOption
0	All inclusive
1	All inclusive
2	All inclusive
3	All inclusive
4	All inclusive
5	All inclusive 24h
6	All inclusive
6	2 posiłki
7	2 posiłki
7	All inclusive
8	All inclusive
9	All inclusive
10	2 posiłki
10	All inclusive
11	All inclusive
12	All inclusive
13	All inclusive
14	Full board plus
15	All inclusive soft
16	All inclusive
17	All inclusive
18	All inclusive
19	Full board plus
20	All inclusive
21	Full board plus
22	2 posiłki
22	All inclusive soft
23	Bez wyżywienia
23	Śniadania
23	Half board plus
23	Full board plus
24	All inclusive 24h
25	All inclusive
26	All inclusive
27	Śniadania
27	2 posiłki
27	All inclusive
28	All inclusive
29	All inclusive
30	All inclusive
31	Full board plus
32	All inclusive
33	All inclusive
34	All inclusive
35	Śniadania
35	Half board plus
35	Full board plus
35	All inclusive
36	All inclusive
37	All inclusive
38	All inclusive 24h
39	All inclusive
40	2 posiłki
40	Full board plus
41	All inclusive
42	All inclusive
43	All inclusive
44	All inclusive
45	All inclusive ultra
46	All inclusive
46	Śniadania
46	2 posiłki
47	All inclusive
48	All inclusive
49	All inclusive
